epoch	time	lr	loss	accuracy	val_loss	val_accuracy
1	43.609681400001136	0.01	0.18563599616913568	82.58285714285714		
2	43.335626899999625	0.01	0.13787588159583863	86.48761904761905		
3	43.33895250000205	0.01	0.09725674747285389	90.63619047619048		
4	43.35568710000007	0.01	0.060879841209593284	94.3847619047619		
5	43.376383999999234	0.01	0.047094459394117195	95.5847619047619		
6	43.42127330000221	0.01	0.037615719630037035	96.5447619047619		
7	43.41176930000074	0.01	0.03140958140364715	97.15809523809524		
8	43.41696000000229	0.01	0.026844256531695525	97.58095238095238		
9	43.441229800002475	0.01	0.0237514076142084	97.88952380952381		
10	43.44717970000056	0.01	0.020857299962504544	98.20571428571428		
11	43.45321640000111	0.01	0.01899634967758542	98.29333333333334		
12	43.43873809999786	0.01	0.017302501835142696	98.4952380952381		
13	43.44917849999911	0.01	0.015578466405187612	98.60952380952381		
14	43.446798700002546	0.01	0.013746406111262955	98.80761904761904		
15	43.4453072000033	0.01	0.013035834215936206	98.85333333333334		
16	43.4504651999996	0.01	0.012616244154884564	98.92571428571429		
17	43.43443130000014	0.01	0.011390338275550554	98.99428571428571		
18	43.43330380000043	0.01	0.01174004703930446	98.98666666666666		
19	43.42483020000145	0.01	0.011371752884274436	99.03619047619047		
20	43.42480769999747	0.01	0.011793487293379647	99.01333333333334		
